"","F238","F256","F262","F175","FB78","F146","F198","F142","F276","1651","CTS4","F165","F246","RTM4","F237","F239","F153","FB15","F236","F284","FB02","FB27","BOXR","F164","F242","F258","FB20","ULYS","F209","F159","F233","F222","F220","F228","C114","F179","FB11","F187","F197","F243","F270","F280","FB90","1092","1316","F109","F131","1231","F123","F199","F266","F254","FB44","F110","SOLB","WLET","C258","C935","F221","F252","FB25","F108","F194","SCSM","LNLD","STE1","TNBP","F264","F196","F268","ORNG","F234","F247","1315","FB10","FB66","1753","F278","FB07","C548","C655","FB54","FB65","PSDQ","1253","F125","F148","HOV2","HOVC","1511","F151","F126","F162","F227","F272","F138","F213","F241","F133","F245","HAIR","HLP4","F135","C555","F282","FB33","FB55","F128","FB92","F173","F250","F137","F235","C874","FB87","B053","F224","RTM5","RTMW","1494","DAB1","DABL","PSC3","F205","MPTB","RY34","BRD3","C798","FB79","F207","C835","DAFT","F248","JOSC","FB28","C911","F217","TDTC","ULY2","1673","1711","AMV1","AMVM","F167","F171","LNL1","FB35","SCS1","HWK3","IKN2","4C4C","HBM3","HBMB","F190","HOVA","ZELD","ZEL2","2253","F223","F225","LNCC","WENT","F113","F274","F178","F188","NIP2","BIK2","BIKO","MTBG","MUC4","MUCH","2193","F219","1495","F149","F229","LNPF","2151","F215","F232","F155","PSC6","F211","AMTS","PRST","TKID","C834","F182","F154","F102","HIQQ","SCS2","CMRS","LNC2","LNPC","ULY3","MLVN","JETY","F240","1414","C912","C991","F141","F176","F185","HITS","1134","1317","FRN3","FRNG","HSN4","HSNS","F114","1454","LIZ1","STEW","MORN","GRGO","HSN3","B207","OIEA","PRF2","YOKE","ZEDC","1992","BKHO","BNST","PHL2","CATW","LIZD","PRFR","MJM2","F158","F231","1791","2091","4NIC","BNDS","BTWO","CASA","CENT","HAAK","HVT1","HVTI","J001","NIGT","PMTI","BUBB","GPHK","VCRO","BOO3","BOOT","PNB3","PNBT","UND2","UNDG","VSTH","YANK","RTM3","JPJK","GADG","PFYT","PIHI","RNMK","HVMS","CW32","CWM3","HBM4","MANT","HMLC","BBLN","HOKA","TRIM","1593","DAB2","C330","PSC5","TCT1","1456","F180","HMLT","M145","MEAD","MIDF","MTSS","Q5LA","BLNK","HLPC","B023","LDM3","SIMP","TDTL","2152","2194","SGL1","ATMM","BASH","GRW2","B531","1496","FZJS","NYDT","TCTV","2231","CL-4942","ENM2","LBHL","R27L","MORB","NKAL","SQBT","LYFN","TRIF","1674","KNNN","F193","BRAN","BRN1","NADW","MFLC","GUPN","MM72","LWHP","RTM2","GRWW","JBAK","WLDC","RCNM","DAIN","1556","F249","BBRD","L108","PHIL","FFCH","SPEG","CRUM","LLLN","SNOT","BARE","NEWT","OCTV","LCKL","WRTH","QECD","WTKN"
"BOO3",23,27,27,53,36,45,24,37,35,20,6,21,36,14,23,23,21,23,24,32,23,31,20,27,29,32,34,10,39,50,40,40,15,29,40,73,40,49,56,55,34,47,34,37,41,43,55,54,54,31,42,19,19,19,16,9,33,24,29,28,33,10,8,10,22,9,7,21,35,35,7,19,52,31,25,12,27,27,27,59,45,60,45,9,29,29,51,7,6,33,32,12,12,28,32,57,53,43,45,46,19,20,46,56,45,55,55,32,30,38,41,39,28,16,16,17,9,9,10,14,11,19,5,13,17,22,6,22,24,36,16,7,14,4,12,19,21,20,14,17,8,18,21,18,12,17,13,23,20,11,13,6,8,8,6,7,8,14,13,12,18,14,37,26,30,30,9,9,9,10,9,9,14,12,9,10,25,11,27,50,24,47,7,25,7,7,7,27,26,7,11,11,17,16,12,12,8,10,8,8,8,12,13,8,21,5,14,35,48,27,27,8,8,11,6,5,6,6,13,6,7,8,9,6,7,23,9,5,5,4,6,4,6,6,4,36,28,4,4,6,5,8,4,9,10,5,7,6,7,5,5,0,0,1,1,2,1,2,7,10,6,4,7,6,6,5,8,8,7,6,5,4,4,5,30,14,35,5,9,8,4,6,8,4,4,4,4,5,8,9,8,6,15,38,9,5,6,6,5,11,8,7,9,7,11,7,4,4,5,4,5,4,5,5,9,4,7,10,10,7,5,5,4,4,6,5,4,4,4,4,12,4,6,5,6,4,6,5,4,4,4,5,4,4,4,4,4
"BOOT",23,27,27,53,36,45,24,37,35,20,6,21,36,14,23,23,21,23,24,32,23,31,20,27,29,32,34,10,39,50,40,40,15,29,40,73,40,49,56,55,34,47,34,37,41,43,55,54,54,31,42,19,19,19,16,9,33,24,29,28,33,10,8,10,22,9,7,21,35,35,7,19,52,31,25,12,27,27,27,59,45,60,45,9,29,29,51,7,6,33,32,12,12,28,32,57,53,43,45,46,19,20,46,56,45,55,55,32,30,38,41,39,28,16,16,17,9,9,10,14,11,19,5,13,17,22,6,22,24,36,16,7,14,4,12,19,21,20,14,17,8,18,21,18,12,17,13,23,20,11,13,6,8,8,6,7,8,14,13,12,18,14,37,26,30,30,9,9,9,10,9,9,14,12,9,10,25,11,27,50,24,47,7,25,7,7,7,27,26,7,11,11,17,16,12,12,8,10,8,8,8,12,13,8,21,5,14,35,48,27,27,8,8,11,6,5,6,6,13,6,7,8,9,6,7,23,9,5,5,4,6,4,6,6,4,36,28,4,4,6,5,8,4,9,10,5,7,6,7,5,5,0,0,1,1,2,1,2,7,10,6,4,7,6,6,5,8,8,7,6,5,4,4,5,30,14,35,5,9,8,4,6,8,4,4,4,4,5,8,9,8,6,15,38,9,5,6,6,5,11,8,7,9,7,11,7,4,4,5,4,5,4,5,5,9,4,7,10,10,7,5,5,4,4,6,5,4,4,4,4,12,4,6,5,6,4,6,5,4,4,4,5,4,4,4,4,4
"PNB3",24,28,28,54,37,46,25,38,36,21,7,22,37,15,24,24,22,24,25,33,24,32,21,28,30,33,35,11,40,51,41,41,16,30,41,74,41,50,57,56,35,48,35,38,42,44,56,55,55,32,43,20,20,20,17,10,34,25,30,29,34,11,9,11,23,10,8,22,36,36,8,20,53,32,26,13,28,28,28,60,46,61,46,10,30,30,52,8,7,34,33,13,13,29,33,58,54,44,46,47,20,21,47,57,46,56,56,33,31,39,42,40,29,17,17,18,10,10,11,15,12,20,6,14,18,23,7,23,25,37,17,8,15,5,13,20,22,21,15,18,9,19,22,19,13,18,14,24,21,12,14,7,9,9,7,8,9,15,14,13,19,15,38,27,31,31,10,10,10,11,10,10,15,13,10,11,26,12,28,51,25,48,8,26,8,8,8,28,27,8,12,12,18,17,13,13,9,11,9,9,9,13,14,9,22,6,15,36,49,28,28,9,9,12,7,6,7,7,14,7,8,9,10,7,8,24,10,6,6,5,7,5,7,7,5,37,29,5,5,7,6,9,5,10,11,6,8,7,8,6,6,1,1,0,0,1,0,1,8,11,7,5,8,7,7,6,9,9,8,7,6,5,5,6,31,15,36,6,10,9,5,7,9,5,5,5,5,6,9,10,9,7,16,39,10,6,7,7,6,12,9,8,10,8,12,8,5,5,6,5,6,5,6,6,10,5,8,11,11,8,6,6,5,5,7,6,5,5,5,5,13,5,7,6,7,5,7,6,5,5,5,6,5,5,5,5,5
"PNBT",24,28,28,54,37,46,25,38,36,21,7,22,37,15,24,24,22,24,25,33,24,32,21,28,30,33,35,11,40,51,41,41,16,30,41,74,41,50,57,56,35,48,35,38,42,44,56,55,55,32,43,20,20,20,17,10,34,25,30,29,34,11,9,11,23,10,8,22,36,36,8,20,53,32,26,13,28,28,28,60,46,61,46,10,30,30,52,8,7,34,33,13,13,29,33,58,54,44,46,47,20,21,47,57,46,56,56,33,31,39,42,40,29,17,17,18,10,10,11,15,12,20,6,14,18,23,7,23,25,37,17,8,15,5,13,20,22,21,15,18,9,19,22,19,13,18,14,24,21,12,14,7,9,9,7,8,9,15,14,13,19,15,38,27,31,31,10,10,10,11,10,10,15,13,10,11,26,12,28,51,25,48,8,26,8,8,8,28,27,8,12,12,18,17,13,13,9,11,9,9,9,13,14,9,22,6,15,36,49,28,28,9,9,12,7,6,7,7,14,7,8,9,10,7,8,24,10,6,6,5,7,5,7,7,5,37,29,5,5,7,6,9,5,10,11,6,8,7,8,6,6,1,1,0,0,1,0,1,8,11,7,5,8,7,7,6,9,9,8,7,6,5,5,6,31,15,36,6,10,9,5,7,9,5,5,5,5,6,9,10,9,7,16,39,10,6,7,7,6,12,9,8,10,8,12,8,5,5,6,5,6,5,6,6,10,5,8,11,11,8,6,6,5,5,7,6,5,5,5,5,13,5,7,6,7,5,7,6,5,5,5,6,5,5,5,5,5
"UND2",23,27,27,53,36,47,26,37,35,20,6,21,36,14,23,23,21,23,24,32,23,31,20,27,29,32,34,10,39,50,40,40,15,29,40,73,40,51,56,55,34,47,34,37,41,43,55,54,54,31,42,19,19,19,16,9,33,24,29,28,33,10,8,10,22,9,7,21,35,35,7,19,52,31,25,12,27,27,27,59,45,60,45,9,29,29,51,7,6,33,32,12,12,28,32,57,53,43,45,46,19,20,46,56,45,55,55,32,30,38,41,39,28,16,16,17,9,9,10,14,11,19,5,13,17,22,6,22,24,36,16,7,14,4,12,19,21,20,14,17,8,18,21,18,12,17,13,23,20,11,13,6,8,8,6,7,8,14,13,12,18,14,37,26,30,30,9,9,9,10,9,9,14,12,9,10,25,11,27,50,24,47,7,25,7,7,7,27,26,7,11,11,17,16,12,12,8,10,8,8,8,12,13,8,21,5,14,35,48,29,29,8,8,11,6,5,6,6,13,6,7,8,9,6,7,23,9,5,5,4,6,4,6,6,4,36,28,4,4,6,5,8,4,9,10,5,7,6,7,5,5,2,2,1,1,0,1,0,7,10,6,4,7,6,6,5,8,8,7,6,5,4,4,5,30,14,35,5,9,8,4,6,8,4,4,4,4,5,8,9,8,6,15,38,9,5,6,6,5,11,8,7,9,7,11,7,4,4,5,4,5,4,5,5,9,4,7,10,10,7,5,5,4,4,6,5,4,4,4,4,12,4,6,5,6,4,6,5,4,4,4,5,4,4,4,4,4
"UNDG",24,28,28,54,37,46,25,38,36,21,7,22,37,15,24,24,22,24,25,33,24,32,21,28,30,33,35,11,40,51,41,41,16,30,41,74,41,50,57,56,35,48,35,38,42,44,56,55,55,32,43,20,20,20,17,10,34,25,30,29,34,11,9,11,23,10,8,22,36,36,8,20,53,32,26,13,28,28,28,60,46,61,46,10,30,30,52,8,7,34,33,13,13,29,33,58,54,44,46,47,20,21,47,57,46,56,56,33,31,39,42,40,29,17,17,18,10,10,11,15,12,20,6,14,18,23,7,23,25,37,17,8,15,5,13,20,22,21,15,18,9,19,22,19,13,18,14,24,21,12,14,7,9,9,7,8,9,15,14,13,19,15,38,27,31,31,10,10,10,11,10,10,15,13,10,11,26,12,28,51,25,48,8,26,8,8,8,28,27,8,12,12,18,17,13,13,9,11,9,9,9,13,14,9,22,6,15,36,49,28,28,9,9,12,7,6,7,7,14,7,8,9,10,7,8,24,10,6,6,5,7,5,7,7,5,37,29,5,5,7,6,9,5,10,11,6,8,7,8,6,6,1,1,0,0,1,0,1,8,11,7,5,8,7,7,6,9,9,8,7,6,5,5,6,31,15,36,6,10,9,5,7,9,5,5,5,5,6,9,10,9,7,16,39,10,6,7,7,6,12,9,8,10,8,12,8,5,5,6,5,6,5,6,6,10,5,8,11,11,8,6,6,5,5,7,6,5,5,5,5,13,5,7,6,7,5,7,6,5,5,5,6,5,5,5,5,5
"VSTH",23,27,27,53,36,47,26,37,35,20,6,21,36,14,23,23,21,23,24,32,23,31,20,27,29,32,34,10,39,50,40,40,15,29,40,73,40,51,56,55,34,47,34,37,41,43,55,54,54,31,42,19,19,19,16,9,33,24,29,28,33,10,8,10,22,9,7,21,35,35,7,19,52,31,25,12,27,27,27,59,45,60,45,9,29,29,51,7,6,33,32,12,12,28,32,57,53,43,45,46,19,20,46,56,45,55,55,32,30,38,41,39,28,16,16,17,9,9,10,14,11,19,5,13,17,22,6,22,24,36,16,7,14,4,12,19,21,20,14,17,8,18,21,18,12,17,13,23,20,11,13,6,8,8,6,7,8,14,13,12,18,14,37,26,30,30,9,9,9,10,9,9,14,12,9,10,25,11,27,50,24,47,7,25,7,7,7,27,26,7,11,11,17,16,12,12,8,10,8,8,8,12,13,8,21,5,14,35,48,29,29,8,8,11,6,5,6,6,13,6,7,8,9,6,7,23,9,5,5,4,6,4,6,6,4,36,28,4,4,6,5,8,4,9,10,5,7,6,7,5,5,2,2,1,1,0,1,0,7,10,6,4,7,6,6,5,8,8,7,6,5,4,4,5,30,14,35,5,9,8,4,6,8,4,4,4,4,5,8,9,8,6,15,38,9,5,6,6,5,11,8,7,9,7,11,7,4,4,5,4,5,4,5,5,9,4,7,10,10,7,5,5,4,4,6,5,4,4,4,4,12,4,6,5,6,4,6,5,4,4,4,5,4,4,4,4,4
"YANK",24,28,28,54,37,48,27,38,36,21,7,22,37,15,24,24,22,24,25,33,24,32,21,30,32,33,35,9,40,51,41,41,16,30,41,74,41,52,57,56,35,50,35,38,42,44,56,55,55,32,43,20,20,20,17,10,34,25,30,29,34,11,9,11,23,10,8,22,36,36,8,20,53,32,26,13,28,28,28,60,46,61,46,10,30,30,52,8,7,34,33,13,13,29,33,58,54,44,46,47,20,21,47,57,46,56,56,33,31,39,42,40,29,17,17,18,10,10,11,15,12,20,6,14,18,23,7,23,25,37,17,8,15,5,13,20,22,21,15,18,9,19,22,19,13,18,14,24,21,12,14,7,9,5,7,8,9,15,14,13,19,15,38,29,31,31,10,10,10,11,10,10,15,13,10,11,26,10,28,51,25,48,8,26,8,8,8,28,27,8,12,12,18,15,13,13,9,11,9,9,9,13,14,9,24,6,13,36,49,32,32,9,9,12,7,6,7,7,14,7,8,9,10,7,8,24,10,6,6,5,7,5,7,7,5,37,29,5,5,7,6,9,5,10,11,6,8,7,8,6,6,7,7,8,8,7,8,7,0,11,7,5,8,7,7,6,9,9,8,7,6,5,5,6,31,15,36,6,10,9,5,7,9,5,5,5,5,6,9,10,9,7,16,39,10,6,7,7,6,12,9,8,10,8,12,8,5,5,6,5,6,5,6,6,10,5,8,11,11,8,6,6,5,5,7,6,5,5,5,5,13,5,7,6,7,5,7,6,5,5,5,6,5,5,5,5,5
"RTM3",27,31,31,57,40,51,30,41,39,24,10,25,40,18,25,25,25,27,28,36,27,35,22,29,33,36,38,14,43,54,44,42,19,33,44,77,44,55,60,59,38,53,38,41,45,47,59,58,58,35,46,23,23,23,20,13,37,28,33,32,37,14,12,14,26,13,11,25,39,39,11,23,56,35,29,16,31,31,31,63,47,64,47,13,33,33,55,11,10,37,36,16,16,32,36,61,57,47,49,50,21,22,50,60,49,59,59,36,34,42,45,43,32,20,20,15,11,13,14,16,15,17,9,17,21,26,10,26,28,40,20,11,18,8,16,21,25,22,18,21,12,22,25,22,16,21,17,27,22,15,17,10,10,12,10,11,12,18,17,16,22,12,41,32,34,34,13,13,13,14,13,13,18,14,13,12,29,15,29,52,28,51,11,29,11,11,11,31,30,11,15,15,21,18,14,14,12,14,12,10,12,16,17,12,27,9,16,39,52,35,35,12,12,15,10,9,10,10,17,10,11,12,13,10,11,27,13,9,9,8,10,8,10,10,8,40,32,8,8,10,9,12,8,13,14,9,11,10,11,9,9,10,10,11,11,10,11,10,11,0,10,8,11,10,10,9,12,12,9,10,9,8,8,9,34,14,39,9,13,12,8,10,12,8,8,8,8,9,10,13,10,10,19,42,11,9,10,10,9,9,10,11,13,11,15,11,8,8,9,8,9,8,7,9,13,8,11,14,14,11,9,9,8,8,10,9,8,8,8,8,16,8,10,9,10,8,10,9,8,8,8,9,8,8,8,8,8
"JPJK",23,27,27,53,36,47,26,37,35,20,6,21,36,14,23,23,21,23,24,32,23,31,20,29,31,32,34,10,39,50,40,40,15,29,40,73,40,51,56,55,34,49,34,37,41,43,55,54,54,31,42,19,19,19,16,9,33,24,29,28,33,10,8,10,20,9,7,21,35,35,7,19,52,31,25,12,27,27,27,59,45,60,45,9,29,29,51,7,6,33,32,12,12,28,32,57,53,43,45,46,19,20,46,56,45,55,55,32,30,38,41,39,28,16,16,17,9,9,10,14,11,19,5,13,17,22,6,22,24,36,16,7,14,4,12,19,21,20,14,17,8,16,19,18,12,17,13,21,20,11,13,6,8,8,6,7,8,14,13,12,18,14,37,28,30,30,9,9,9,10,7,7,14,12,9,10,25,11,27,50,24,47,7,25,5,5,5,27,26,7,11,11,15,16,12,12,8,10,8,8,8,12,13,8,23,5,14,35,48,31,31,8,8,11,6,5,6,6,13,6,7,8,9,6,7,23,5,5,5,4,6,4,6,6,4,36,28,4,4,6,5,8,4,5,6,3,5,4,7,5,5,6,6,7,7,6,7,6,7,10,0,4,7,6,6,5,8,8,7,6,5,4,4,5,30,14,35,5,9,8,4,6,8,4,4,4,4,5,8,9,8,6,15,38,9,5,6,6,5,11,8,7,9,7,11,7,4,4,5,4,5,4,5,5,9,4,7,10,10,7,3,5,4,4,6,5,4,4,4,4,12,4,6,5,6,4,6,5,4,4,4,5,4,4,4,4,4
"GADG",21,25,25,51,34,45,24,35,33,18,4,19,34,12,21,21,19,21,22,30,21,29,18,27,29,30,32,8,37,48,38,38,13,27,38,71,38,49,54,53,32,47,32,35,39,41,53,52,52,29,40,17,17,17,14,7,31,22,27,26,31,8,6,8,20,7,5,19,33,33,5,17,50,29,23,10,25,25,25,57,43,58,43,7,27,27,49,5,4,31,30,10,10,26,30,55,51,41,43,44,17,18,44,54,43,53,53,30,28,36,39,37,26,14,14,15,7,7,8,12,9,17,3,11,15,20,4,20,22,34,14,5,12,2,10,17,19,18,12,15,6,16,19,16,10,15,11,21,18,9,11,4,6,6,4,5,6,12,11,10,16,12,35,26,28,28,7,7,7,8,7,7,12,10,7,8,23,9,25,48,22,45,5,23,5,5,5,25,24,5,9,9,15,14,10,10,6,8,6,6,6,10,11,6,21,3,12,33,46,29,29,6,6,9,4,3,4,4,11,4,5,6,7,4,5,21,7,3,3,2,4,2,4,4,2,34,26,2,2,4,3,6,2,7,8,3,5,4,3,3,3,4,4,5,5,4,5,4,5,8,4,0,3,2,2,3,6,6,5,4,3,2,2,3,28,12,33,3,7,6,2,4,6,2,2,2,2,3,6,7,6,4,13,36,7,3,4,4,3,9,6,5,7,5,9,5,2,2,3,2,3,2,3,3,7,2,5,8,8,5,3,3,2,2,4,3,2,2,2,2,10,2,4,3,4,2,4,3,2,2,2,3,2,2,2,2,2
"PFYT",24,28,28,54,37,48,27,38,36,21,7,22,37,15,24,24,22,24,25,33,24,32,21,30,32,33,35,11,40,51,41,41,16,30,41,74,41,52,57,56,35,50,35,38,42,44,56,55,55,32,43,20,20,20,17,10,34,25,30,29,34,11,9,11,23,10,8,22,36,36,8,20,53,32,26,13,28,28,28,60,46,61,46,10,30,30,52,8,7,34,33,13,13,29,33,58,54,44,46,47,20,21,47,57,46,56,56,33,31,39,42,40,29,17,17,18,10,10,11,15,12,20,6,14,18,23,7,23,25,37,17,8,15,5,13,20,22,21,15,18,9,19,22,19,13,18,14,24,21,12,14,7,9,9,7,8,9,15,14,13,19,15,38,29,31,31,10,10,10,11,10,10,15,13,10,11,26,12,28,51,25,48,8,26,8,8,8,28,27,8,12,12,18,17,13,13,9,11,9,9,9,13,14,9,24,6,15,36,49,32,32,9,9,12,7,6,7,7,14,7,8,9,10,7,8,24,10,6,6,5,7,5,7,7,5,37,29,5,5,7,6,9,5,10,11,6,8,7,2,6,6,7,7,8,8,7,8,7,8,11,7,3,0,5,5,6,9,9,8,7,6,5,5,6,31,15,36,6,10,9,5,7,9,5,5,5,5,6,9,10,9,7,16,39,10,6,7,7,6,12,9,8,10,8,12,6,5,5,6,5,6,5,6,6,10,5,8,11,11,8,6,6,5,5,7,6,5,5,5,5,13,5,7,6,7,5,7,6,5,5,5,6,5,5,5,5,5
"PIHI",23,27,27,53,36,47,26,37,35,20,6,21,36,14,23,23,21,23,24,32,23,31,20,29,31,32,34,10,39,50,40,40,15,29,40,73,40,51,56,55,34,49,34,37,41,43,55,54,54,31,42,19,19,19,16,9,33,24,29,28,33,10,8,10,22,9,7,21,35,35,7,19,52,31,25,12,27,27,27,59,45,60,45,9,29,29,51,7,6,33,32,12,12,28,32,57,53,43,45,46,19,20,46,56,45,55,55,32,30,38,41,39,28,16,16,17,9,9,10,14,11,19,5,13,17,22,6,22,24,36,16,7,14,4,12,19,21,20,14,17,8,18,21,18,12,17,13,23,20,11,13,6,8,8,6,7,8,14,13,12,18,14,37,28,30,30,9,9,9,8,9,9,14,12,9,10,25,11,27,50,24,47,7,25,7,7,7,27,26,7,11,11,17,16,12,12,8,10,8,8,8,12,13,8,23,5,14,35,48,31,31,8,8,11,6,5,6,6,13,6,7,8,9,6,7,23,9,5,5,4,6,4,6,6,4,36,28,4,4,6,5,8,4,9,10,5,7,6,5,5,5,6,6,7,7,6,7,6,7,10,6,2,5,0,0,5,8,8,7,6,5,4,4,5,30,14,35,5,9,8,4,6,8,4,4,4,4,5,8,9,8,6,15,38,9,5,6,6,5,11,8,7,9,7,11,7,4,4,5,4,5,4,5,5,9,4,7,10,10,7,5,5,4,4,6,5,4,2,4,4,12,4,6,5,6,4,6,5,4,4,4,5,4,4,4,4,4
"RNMK",23,27,27,53,36,47,26,37,35,20,6,21,36,14,23,23,21,23,24,32,23,31,20,29,31,32,34,10,39,50,40,40,15,29,40,73,40,51,56,55,34,49,34,37,41,43,55,54,54,31,42,19,19,19,16,9,33,24,29,28,33,10,8,10,22,9,7,21,35,35,7,19,52,31,25,12,27,27,27,59,45,60,45,9,29,29,51,7,6,33,32,12,12,28,32,57,53,43,45,46,19,20,46,56,45,55,55,32,30,38,41,39,28,16,16,17,9,9,10,14,11,19,5,13,17,22,6,22,24,36,16,7,14,4,12,19,21,20,14,17,8,18,21,18,12,17,13,23,20,11,13,6,8,8,6,7,8,14,13,12,18,14,37,28,30,30,9,9,9,8,9,9,14,12,9,10,25,11,27,50,24,47,7,25,7,7,7,27,26,7,11,11,17,16,12,12,8,10,8,8,8,12,13,8,23,5,14,35,48,31,31,8,8,11,6,5,6,6,13,6,7,8,9,6,7,23,9,5,5,4,6,4,6,6,4,36,28,4,4,6,5,8,4,9,10,5,7,6,5,5,5,6,6,7,7,6,7,6,7,10,6,2,5,0,0,5,8,8,7,6,5,4,4,5,30,14,35,5,9,8,4,6,8,4,4,4,4,5,8,9,8,6,15,38,9,5,6,6,5,11,8,7,9,7,11,7,4,4,5,4,5,4,5,5,9,4,7,10,10,7,5,5,4,4,6,5,4,2,4,4,12,4,6,5,6,4,6,5,4,4,4,5,4,4,4,4,4
"HVMS",22,26,26,52,35,46,25,36,34,19,5,20,35,13,22,22,20,22,23,31,22,30,19,28,30,31,33,9,38,49,39,39,14,28,39,72,39,50,55,54,33,48,33,36,40,42,54,53,53,30,41,18,18,18,15,8,32,23,28,27,32,9,7,9,21,8,6,20,34,34,6,18,51,30,24,11,26,26,26,58,44,59,44,8,28,28,50,6,5,32,31,11,11,27,31,56,52,42,44,45,18,19,45,55,44,54,54,31,29,37,40,38,27,15,15,16,8,8,9,13,10,18,4,12,16,21,5,21,23,33,15,6,13,3,11,18,20,19,13,16,7,17,20,17,11,16,12,22,19,10,12,5,7,7,5,6,7,13,12,11,17,13,36,27,29,29,8,8,8,9,8,8,13,11,8,9,24,10,26,49,23,46,6,24,6,6,6,26,25,6,10,10,16,15,11,11,7,9,7,7,7,11,12,7,22,4,13,34,47,30,30,7,7,8,5,4,5,5,12,5,6,7,8,5,6,22,8,4,4,3,5,3,5,5,3,35,27,3,3,5,4,7,3,8,9,4,6,5,6,4,4,5,5,6,6,5,6,5,6,9,5,3,6,5,5,0,7,7,6,5,4,3,3,4,29,13,34,4,8,7,3,5,7,3,3,3,3,4,7,8,7,5,14,37,8,4,5,5,4,10,7,6,8,6,10,6,3,3,4,3,4,3,4,4,8,3,6,9,9,6,4,4,3,3,5,4,3,3,3,3,11,3,5,4,5,3,5,4,1,3,3,4,3,3,3,3,3
"CW32",25,29,29,55,38,49,28,39,37,20,8,21,38,16,25,25,23,25,26,34,25,33,22,31,33,34,36,12,41,52,42,42,17,31,42,75,42,53,58,57,36,51,36,39,43,45,57,56,56,33,44,21,21,21,18,11,35,26,31,30,35,12,10,12,24,11,9,23,37,37,9,21,54,33,27,14,29,27,27,61,47,62,47,3,31,31,53,9,8,35,34,14,14,30,34,59,55,45,47,48,21,22,48,58,47,57,57,34,32,40,43,41,30,18,18,19,11,11,12,16,13,21,5,15,19,24,8,24,26,38,18,9,16,6,14,21,23,22,16,19,10,20,23,20,14,19,15,25,22,13,15,8,6,10,8,9,10,16,15,14,20,16,39,30,32,32,11,11,11,12,11,11,14,10,11,12,27,13,29,52,26,49,9,27,9,9,9,29,28,9,13,13,19,18,14,14,10,12,10,10,10,14,15,10,23,7,16,37,50,33,33,10,10,13,6,7,8,8,15,8,9,10,11,8,9,25,11,7,7,6,8,6,8,8,6,38,30,6,6,8,7,10,6,11,12,7,9,8,9,7,7,8,8,9,9,8,9,8,9,12,8,6,9,8,8,7,0,0,5,2,7,6,6,7,32,16,37,5,11,2,4,2,2,4,4,4,4,7,10,11,10,8,17,40,9,7,4,4,7,13,10,9,11,9,13,9,6,6,7,6,7,6,7,7,11,6,9,12,12,9,7,7,6,6,6,7,6,6,6,6,14,6,8,7,8,6,8,7,6,6,6,7,6,6,6,4,4
"CWM3",25,29,29,55,38,49,28,39,37,20,8,21,38,16,25,25,23,25,26,34,25,33,22,31,33,34,36,12,41,52,42,42,17,31,42,75,42,53,58,57,36,51,36,39,43,45,57,56,56,33,44,21,21,21,18,11,35,26,31,30,35,12,10,12,24,11,9,23,37,37,9,21,54,33,27,14,29,27,27,61,47,62,47,3,31,31,53,9,8,35,34,14,14,30,34,59,55,45,47,48,21,22,48,58,47,57,57,34,32,40,43,41,30,18,18,19,11,11,12,16,13,21,5,15,19,24,8,24,26,38,18,9,16,6,14,21,23,22,16,19,10,20,23,20,14,19,15,25,22,13,15,8,6,10,8,9,10,16,15,14,20,16,39,30,32,32,11,11,11,12,11,11,14,10,11,12,27,13,29,52,26,49,9,27,9,9,9,29,28,9,13,13,19,18,14,14,10,12,10,10,10,14,15,10,23,7,16,37,50,33,33,10,10,13,6,7,8,8,15,8,9,10,11,8,9,25,11,7,7,6,8,6,8,8,6,38,30,6,6,8,7,10,6,11,12,7,9,8,9,7,7,8,8,9,9,8,9,8,9,12,8,6,9,8,8,7,0,0,5,2,7,6,6,7,32,16,37,5,11,2,4,2,2,4,4,4,4,7,10,11,10,8,17,40,9,7,4,4,7,13,10,9,11,9,13,9,6,6,7,6,7,6,7,7,11,6,9,12,12,9,7,7,6,6,6,7,6,6,6,6,14,6,8,7,8,6,8,7,6,6,6,7,6,6,6,4,4
"HBM4",24,28,28,54,37,48,27,38,36,21,7,22,37,15,24,24,22,24,25,33,24,32,21,30,32,33,35,11,40,51,41,41,16,30,41,74,41,52,57,56,35,50,35,38,42,44,56,55,55,32,43,20,20,20,17,10,34,25,30,29,34,11,9,11,23,10,8,22,36,36,8,20,53,32,26,13,28,28,28,60,44,61,44,6,30,30,52,8,7,34,33,13,13,29,33,58,54,44,46,47,20,21,47,57,46,56,56,33,31,39,42,40,29,17,17,16,10,10,11,15,12,18,6,14,18,23,7,23,25,37,17,8,15,5,13,20,22,21,15,18,9,19,22,19,13,18,14,24,21,12,14,7,1,9,7,8,9,15,14,13,19,13,38,29,31,31,10,10,10,11,10,10,11,7,10,11,26,12,28,51,25,48,8,26,8,8,8,28,27,8,12,12,18,17,13,13,9,11,9,9,9,13,14,9,24,6,15,36,49,32,32,9,9,12,7,6,7,7,14,7,8,9,10,7,8,24,10,6,6,5,7,5,7,7,5,37,29,5,5,7,6,9,5,10,11,6,8,7,8,6,6,7,7,8,8,7,8,7,8,9,7,5,8,7,7,6,5,5,0,3,6,5,5,6,31,15,36,6,10,7,3,5,7,3,3,3,3,6,9,10,9,7,16,39,6,6,7,7,6,10,9,8,10,8,12,8,5,5,6,5,6,5,6,6,10,5,8,11,11,8,6,6,5,5,7,6,5,5,5,5,13,5,7,6,7,5,7,6,5,5,5,6,5,5,5,5,5
